Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
208,29370,12030,29378,12034,29332,12028,29368,12019,29388,12009,29365,12020,29373,11931,29393,12035
209,28415,12026,28434,12028,28532,12025,28466,12011,28430,12008,28421,12011,28431,11924,28445,12028
210,29934,12027,29940,12036,29853,12028,29918,12017,29957,12010,29929,12021,29937,11932,29955,12033
211,28062,12024,28079,12028,28195,12025,28118,12012,28076,12007,28069,12010,28079,11924,28091,12028
212,30135,12028,30143,12036,30060,12031,30119,12022,30155,12012,30125,12020,30137,11933,30155,12037
213,28118,12026,28135,12030,28228,12026,28166,12017,28135,12010,28126,12018,28133,11928,28148,12032
214,29924,12026,29932,12032,29887,12029,29923,12016,29942,12009,29919,12018,29927,11929,29946,12035
215,29069,12026,29083,12035,29138,12028,29103,12019,29086,12009,29071,12016,29082,11929,29098,12033
216,29844,12026,29852,12031,29770,12028,29830,12017,29863,12009,29837,12020,29846,11929,29865,12034
217,28134,12026,28153,12030,28269,12025,28193,12017,28150,12009,28146,12014,28151,11926,28167,12030
218,30114,12027,30122,12034,30028,12031,30096,12019,30136,12012,30105,12021,30115,11932,30135,12038
219,28019,12023,28035,12026,28147,12022,28074,12014,28031,12009,28026,12011,28032,11923,28049,12030
220,30099,12026,30110,12034,30029,12029,30088,12018,30119,12011,30092,12019,30103,11930,30118,12033
221,28160,12025,28176,12031,28255,12023,28203,12013,28174,12009,28167,12014,28173,11926,28189,12028
222,29662,12027,29673,12031,29660,12026,29673,12014,29679,12008,29658,12016,29668,11926,29684,12032
223,28696,12027,28706,12031,28726,12027,28718,12018,28713,12010,28696,12017,28704,11929,28720,12033
224,28741,12026,28759,12032,28836,12028,28786,12020,28755,12010,28744,12014,28755,11926,28770,12033
225,29669,12028,29678,12035,29607,12033,29661,12022,29689,12014,29663,12022,29670,11935,29691,12038
226,28185,12013,28202,12019,28317,12016,28241,12005,28198,11998,28193,12004,28202,11915,28216,12017
227,30119,12028,30127,12033,30037,12030,30105,12019,30140,12012,30111,12019,30120,11933,30139,12035
228,28063,12028,28079,12030,28183,12029,28116,12015,28078,12009,28072,12015,28081,11926,28092,12031
229,30042,12026,30053,12032,29994,12029,30038,12018,30060,12013,30037,12018,30047,11929,30062,12036
230,28217,12023,28234,12027,28302,12022,28258,12013,28232,12006,28224,12011,28232,11923,28246,12029
231,29602,12028,29614,12035,29611,12031,29618,12020,29621,12012,29602,12020,29612,11934,29626,12036
232,28893,12027,28905,12034,28903,12028,28908,12017,28914,12010,28895,12016,28904,11928,28919,12033
233,28803,12024,28817,12030,28888,12025,28844,12015,28817,12009,28808,12014,28816,11929,28832,12031
234,29731,12027,29740,12034,29662,12031,29719,12018,29751,12012,29723,12021,29732,11932,29752,12037
235,28256,12026,28274,12031,28386,12028,28311,12018,28268,12011,28266,12014,28274,11927,28287,12031
236,30037,12027,30047,12032,29951,12028,30018,12017,30057,12010,30029,12019,30039,11930,30058,12036
237,28036,12026,28054,12030,28154,12025,28088,12015,28051,12009,28046,12015,28053,11927,28066,12030
238,30088,12030,30096,12034,30026,12031,30077,12020,30106,12011,30080,12023,30088,11933,30107,12036
239,28332,12029,28347,12032,28404,12029,28366,12022,28346,12013,28338,12019,28343,11931,28360,12036
240,29578,12026,29591,12034,29588,12028,29592,12017,29593,12010,29576,12018,29585,11930,29602,12033
241,28829,12031,28841,12037,28843,12034,28845,12023,28847,12014,28830,12022,28837,11932,28852,12039
242,29242,12028,29256,12032,29291,12031,29269,12020,29256,12012,29244,12019,29253,11930,29269,12036
243,29223,12027,29234,12037,29198,12032,29228,12020,29242,12012,29221,12021,29229,11934,29248,12038
244,28728,12022,28745,12028,28825,12025,28774,12014,28743,12008,28734,12012,28742,11926,28758,12030
245,29904,12027,29912,12034,29824,12030,29884,12021,29925,12013,29899,12022,29905,11932,29923,12036
246,30118,12029,30127,12037,30033,12031,30102,12020,30139,12014,30110,12024,30120,11935,30137,12037
247,28053,12023,28070,12031,28182,12025,28109,12014,28067,12006,28061,12013,28070,11926,28085,12030
248,30073,12026,30083,12032,30017,12030,30065,12019,30093,12009,30068,12018,30077,11929,30095,12036
249,28197,12030,28216,12035,28294,12031,28242,12020,28213,12015,28205,12019,28214,11931,28228,12036
250,29777,12030,29788,12033,29761,12032,29782,12019,29795,12013,29773,12020,29782,11932,29799,12033
251,28701,12027,28712,12033,28729,12028,28720,12017,28719,12011,28702,12019,28712,11931,28726,12034
252,29330,12026,29343,12029,29371,12025,29358,12015,29346,12008,29330,12013,29341,11926,29357,12032
253,29572,12029,29582,12036,29519,12034,29566,12022,29594,12012,29569,12025,29576,11934,29594,12039
