Time(ms),TactileRaw(16bit),GroundRef(16bit)
5680.00,-5531,0
5685.00,-5543,2
5690.00,-5531,3
5695.00,-5537,3
5700.00,-5543,2
5705.00,-5542,2
5710.00,-5542,3
5715.00,-5541,2
5720.00,-5545,4
5725.00,-5543,2
5730.00,-5543,4
5735.00,-5542,0
5740.00,-5541,0
5745.00,-5530,3
5750.00,-5528,2
5755.00,-5535,2
5760.00,-5540,3
5765.00,-5531,2
5770.00,-5526,1
5775.00,-5536,1
5780.00,-5538,4
5785.00,-5539,4
5790.00,-5540,3
5795.00,-5540,4
5800.00,-5546,3
5805.00,-5543,2
5810.00,-5544,2
5815.00,-5541,2
5820.00,-5542,2
5825.00,-5539,2
5830.00,-5540,4
5835.00,-5546,2
5840.00,-5543,1
5845.00,-5549,2
5850.00,-5543,3
5855.00,-5548,4
5860.00,-5551,3
5865.00,-5551,5
5870.00,-5547,3
5875.00,-5545,3
5880.00,-5551,1
5885.00,-5562,3
5890.00,-5555,4
5895.00,-5552,2
5900.00,-5549,2
5905.00,-5549,2
5910.00,-5548,5
5915.00,-5558,3
5920.00,-5560,1
5925.00,-5549,5
5930.00,-5550,4
5935.00,-5555,2
5940.00,-5542,2
5945.00,-5544,2
5950.00,-5541,2
5955.00,-5546,1
5960.00,-5549,2
5965.00,-5536,3
5970.00,-5540,3
5975.00,-5541,2
5980.00,-5546,3
5985.00,-5552,3
5990.00,-5546,2
5995.00,-5534,2
6000.00,-5542,2
6005.00,-5547,3
6010.00,-5540,3
6015.00,-5549,2
6020.00,-5546,2
6025.00,-5549,2
6030.00,-5543,3
6035.00,-5552,3
6040.00,-5541,2
6045.00,-5547,2
6050.00,-5552,4
6055.00,-5549,3
6060.00,-5555,3
6065.00,-5549,2
6070.00,-5542,2
6075.00,-5544,4
6080.00,-5547,4
6085.00,-5544,2
6090.00,-5549,3
6095.00,-5546,2
6100.00,-5548,3
6105.00,-5548,2
6110.00,-5547,2
6115.00,-5549,3
6120.00,-5551,5
6125.00,-5561,2
6130.00,-5549,2
6135.00,-5556,5
6140.00,-5546,3
6145.00,-5556,2
6150.00,-5549,3
6155.00,-5549,3
6160.00,-5549,4
6165.00,-5545,2
6170.00,-5551,3
6175.00,-5554,2
6180.00,-5548,3
6185.00,-5553,2
6190.00,-5560,2
6195.00,-5553,2
6200.00,-5558,2
6205.00,-5548,2
6210.00,-5558,2
6215.00,-5555,2
6220.00,-5556,5
6225.00,-5555,3
6230.00,-5554,0
6235.00,-5552,4
6240.00,-5548,2
6245.00,-5547,4
6250.00,-5549,4
6255.00,-5543,4
6260.00,-5544,5
6265.00,-5557,5
6270.00,-5554,2
6275.00,-5551,3
6280.00,-5549,2
6285.00,-5561,5
6290.00,-5558,2
6295.00,-5558,2
6300.00,-5558,2
6305.00,-5556,3
6310.00,-5552,2
6315.00,-5552,2
