Time(ms),TactileRaw(16bit),GroundRef(16bit)
4920.00,-587,6
4925.00,-587,0
4930.00,-587,4
4935.00,-583,5
4940.00,-581,5
4945.00,-580,4
4950.00,-583,3
4955.00,-580,2
4960.00,-581,4
4965.00,-583,0
4970.00,-584,4
4975.00,-583,3
4980.00,-589,5
4985.00,-583,4
4990.00,-579,4
4995.00,-582,2
5000.00,-582,5
5005.00,-581,3
5010.00,-581,4
5015.00,-579,3
5020.00,-583,3
5025.00,-587,5
5030.00,-579,4
5035.00,-583,4
5040.00,-584,2
5045.00,-584,5
5050.00,-582,2
5055.00,-580,4
5060.00,-582,3
5065.00,-583,5
5070.00,-582,2
5075.00,-579,3
5080.00,-584,4
5085.00,-582,4
5090.00,-584,2
5095.00,-585,4
5100.00,-583,1
5105.00,-585,5
5110.00,-584,2
5115.00,-581,5
5120.00,-582,3
5125.00,-580,3
5130.00,-583,5
5135.00,-587,5
5140.00,-586,3
5145.00,-587,2
5150.00,-585,2
5155.00,-590,4
5160.00,-586,2
5165.00,-592,2
5170.00,-586,5
5175.00,-585,4
5180.00,-586,4
5185.00,-583,2
5190.00,-586,4
5195.00,-587,5
5200.00,-588,5
5205.00,-589,4
5210.00,-590,2
5215.00,-586,4
5220.00,-589,4
5225.00,-586,4
5230.00,-589,3
5235.00,-582,5
5240.00,-587,2
5245.00,-583,5
5250.00,-586,6
5255.00,-587,2
5260.00,-586,4
5265.00,-583,2
5270.00,-585,5
5275.00,-580,2
5280.00,-589,2
5285.00,-591,1
5290.00,-586,5
5295.00,-586,5
5300.00,-582,5
5305.00,-583,2
5310.00,-583,4
5315.00,-580,5
5320.00,-580,3
5325.00,-583,5
5330.00,-581,3
5335.00,-587,3
5340.00,-587,3
5345.00,-584,3
5350.00,-586,4
5355.00,-589,3
5360.00,-585,5
5365.00,-590,5
5370.00,-584,5
5375.00,-583,4
5380.00,-587,5
5385.00,-586,4
5390.00,-588,2
5395.00,-589,5
5400.00,-583,3
5405.00,-574,5
5410.00,-581,4
5415.00,-578,4
5420.00,-585,3
5425.00,-580,4
5430.00,-586,3
5435.00,-580,2
5440.00,-579,5
5445.00,-582,3
5450.00,-583,5
5455.00,-581,4
5460.00,-581,2
5465.00,-580,4
5470.00,-586,5
5475.00,-583,4
5480.00,-586,2
5485.00,-586,5
